"target_id"	"length"	"eff_length"	"est_counts"	"tpm"
"8467"	"ENSMUST00000000175.5"	1231	1121.87	1639	90.3071
"8806"	"ENSMUST00000020504.5"	636	527.097	4182.06	490.44
"8912"	"ENSMUST00000021282.11"	6373	6263.87	3508.38	34.6219
"8935"	"ENSMUST00000000287.8"	2097	1987.87	5037	156.628
"9274"	"ENSMUST00000002043.9"	5193	5083.87	1862.71	22.6483
"9294"	"ENSMUST00000017692.14"	4373	4263.87	11276	163.47
"9644"	"ENSMUST00000021090.13"	2709	2599.87	2276.61	54.1281
"9956"	"ENSMUST00000020630.7"	4618	4508.87	11945.6	163.767
"9988"	"ENSMUST00000015791.5"	11388	11278.9	8735.63	47.8756
"10157"	"ENSMUST00000012540.4"	2211	2101.87	23853	701.492
"10669"	"ENSMUST00000002855.13"	1599	1489.87	2317.15	96.1373
"10759"	"ENSMUST00000018005.9"	3651	3541.87	12741.5	222.368
"10874"	"ENSMUST00000006467.13"	1404	1294.87	792.651	37.8392
"10924"	"ENSMUST00000020488.8"	123179	123070	84640.1	42.5119
"10960"	"ENSMUST00000005336.8"	2313	2203.87	3926.96	110.143
"11626"	"ENSMUST00000008477.12"	2061	1951.87	1194.97	37.8435
"11932"	"ENSMUST00000020550.12"	1266	1156.87	1402.04	74.9138
"12114"	"ENSMUST00000006462.13"	1817	1707.87	1726.24	62.4787
"12464"	"ENSMUST00000001845.12"	1600	1490.87	3534.36	146.54
"12609"	"ENSMUST00000021239.6"	2837	2727.87	5938.14	134.559
"13140"	"ENSMUST00000021135.4"	12106	11996.9	1699.11	8.75465
"13518"	"ENSMUST00000008748.7"	3330	3220.87	3910.27	75.0446
"13657"	"ENSMUST00000016072.11"	5177	5067.87	6330.77	77.2177
"13972"	"ENSMUST00000019615.10"	7851	7741.87	2231.96	17.8207
"14048"	"ENSMUST00000009772.7"	8405	8295.87	504.231	3.75711
"14103"	"ENSMUST00000000804.6"	4692	4582.87	11754.5	158.545
"14756"	"ENSMUST00000003156.14"	931	821.915	3531.97	265.629
"15271"	"ENSMUST00000005057.6"	2832	2722.87	1615.67	36.6785
"15431"	"ENSMUST00000016143.8"	5196	5086.87	1464.98	17.8019
"15494"	"ENSMUST00000021046.5"	4011	3901.87	2706.42	42.8753
"15632"	"ENSMUST00000021048.6"	3144	3034.87	3882.57	79.0797
"15654"	"ENSMUST00000008036.8"	499	390.189	54990.3	8711.59
"16138"	"ENSMUST00000018851.13"	14342	14232.9	15293	66.4182
"16305"	"ENSMUST00000022038.14"	3793	3683.87	2219.32	37.2393
"16323"	"ENSMUST00000021049.8"	1316	1206.87	3038.39	155.621
"16377"	"ENSMUST00000006614.2"	3913	3803.87	2357.61	38.3117
"16449"	"ENSMUST00000001724.11"	2258	2148.87	2234.77	64.2848
"16673"	"ENSMUST00000023467.8"	5741	5631.87	3230.54	35.4575
"16951"	"ENSMUST00000019614.12"	2677	2567.87	1142.17	27.4943
"17294"	"ENSMUST00000001592.14"	3205	3095.87	2858.56	57.0755
"17341"	"ENSMUST00000019118.7"	4447	4337.87	1375.36	19.5987
"17620"	"ENSMUST00000021297.5"	2256	2146.87	3273.35	94.2481
"17681"	"ENSMUST00000006128.6"	2720	2610.87	1347.56	31.9043
"17810"	"ENSMUST00000021311.9"	3326	3216.87	1716.46	32.9827
"18181"	"ENSMUST00000021313.8"	1744	1634.87	2401.95	90.817
"18195"	"ENSMUST00000021314.7"	4861	4751.87	3162.58	41.1399
"18739"	"ENSMUST00000021114.4"	1406	1296.87	1643	78.3117
"18859"	"ENSMUST00000000312.11"	4430	4320.87	12242.6	175.142
"18989"	"ENSMUST00000019283.9"	1836	1726.87	967.078	34.6168
"19962"	"ENSMUST00000002825.5"	6492	6382.87	4010.87	38.8427
"20116"	"ENSMUST00000002529.6"	3054	2944.87	1761.71	36.979
"20202"	"ENSMUST00000005651.12"	2636	2526.87	713.36	17.4507
"20252"	"ENSMUST00000019323.10"	1456	1346.87	4317.06	198.129
"20298"	"ENSMUST00000005077.6"	903	793.957	9372.24	729.68
"20720"	"ENSMUST00000023353.3"	3589	3479.87	4755	84.4643
"20770"	"ENSMUST00000001416.6"	1987	1877.87	1320.02	43.4512
"20944"	"ENSMUST00000022586.1"	3974	3864.87	1139.66	18.2275
"21074"	"ENSMUST00000007482.6"	1722	1612.87	982.262	37.6455
"21085"	"ENSMUST00000012587.3"	4819	4709.87	1547.86	20.3146
"21207"	"ENSMUST00000022480.7"	3449	3339.87	3038	56.2269
"21277"	"ENSMUST00000011896.6"	1831	1721.87	11354.7	407.627
"21441"	"ENSMUST00000001419.8"	2257	2147.87	1720.44	49.5127
"21450"	"ENSMUST00000002839.8"	2926	2816.87	2241.42	49.186
"21543"	"ENSMUST00000022577.5"	6151	6041.87	2295	23.48
"21613"	"ENSMUST00000023283.5"	2906	2796.87	772	17.062
"21627"	"ENSMUST00000002733.6"	1717	1607.87	1744	67.0473
"21978"	"ENSMUST00000010807.4"	3456	3346.87	1719	31.7485
"22277"	"ENSMUST00000023101.9"	3932	3822.87	4366.84	70.6095
"22387"	"ENSMUST00000002699.5"	3695	3585.87	3429.6	59.12
"22701"	"ENSMUST00000001975.4"	4300	4190.87	4701.9	69.3513
"22807"	"ENSMUST00000014684.4"	907	797.957	2607.66	202.003
"23086"	"ENSMUST00000001326.6"	7754	7644.87	4940.82	39.9498
"23326"	"ENSMUST00000002487.14"	9728	9618.87	1646.58	10.5814
"23340"	"ENSMUST00000000727.3"	3180	3070.87	2123.21	42.7384
"23374"	"ENSMUST00000021203.6"	2817	2707.87	1690.14	38.5816
"23416"	"ENSMUST00000021085.10"	2230	2120.87	1490.01	43.427
"23593"	"ENSMUST00000005798.8"	1928	1818.87	1052.14	35.7565
"23779"	"ENSMUST00000018909.3"	2951	2841.87	4008.82	87.1963
"24002"	"ENSMUST00000022469.12"	5559	5449.87	1900.44	21.5553
"24296"	"ENSMUST00000021611.9"	3318	3208.87	1498.83	28.8725
"24467"	"ENSMUST00000001451.10"	4448	4338.87	1962.59	27.9601
"24562"	"ENSMUST00000021083.6"	1375	1265.87	1795.17	87.6602
"24604"	"ENSMUST00000020490.12"	3747	3637.87	3157.67	53.6544
"24610"	"ENSMUST00000013970.8"	3307	3197.87	1416.66	27.3836
"24670"	"ENSMUST00000005185.7"	603	494.097	2137	267.349
"24911"	"ENSMUST00000021284.3"	5738	5628.87	459.716	5.0484
"25125"	"ENSMUST00000021204.3"	2755	2645.87	880.318	20.5663
"25223"	"ENSMUST00000018993.6"	4531	4421.87	1621.46	22.6665
"25967"	"ENSMUST00000021803.9"	6109	5999.87	3865.91	39.8287
"26057"	"ENSMUST00000022099.14"	3675	3565.87	1586.9	27.5087
"26076"	"ENSMUST00000001179.6"	9331	9221.87	249.814	1.67449
"26133"	"ENSMUST00000021692.8"	6178	6068.87	2972.87	30.2799
"26277"	"ENSMUST00000018143.15"	2714	2604.87	2008.64	47.6653
"26336"	"ENSMUST00000020909.3"	1773	1663.87	2391	88.8272
"26405"	"ENSMUST00000005504.14"	4019	3909.87	1744.04	27.5727
"26669"	"ENSMUST00000020608.2"	7102	6992.87	5057.53	44.7064
"26713"	"ENSMUST00000003061.13"	2429	2319.87	3188.71	84.9645
"26971"	"ENSMUST00000017572.13"	2848	2738.87	3522.99	79.5107
"27076"	"ENSMUST00000001809.14"	2817	2707.87	60822.4	1388.42
"27378"	"ENSMUST00000018795.12"	2151	2041.87	1588.13	48.0778
"27429"	"ENSMUST00000020420.8"	4805	4695.87	2808.03	36.9634
"27449"	"ENSMUST00000020775.8"	2476	2366.87	1562.65	40.8107
"27517"	"ENSMUST00000004327.10"	2652	2542.87	1063.93	25.8627
"27583"	"ENSMUST00000012152.12"	4045	3935.87	804.628	12.6369
"27593"	"ENSMUST00000000756.5"	780	671.035	37672.2	3470.26
"27850"	"ENSMUST00000022496.8"	4069	3959.87	2804.36	43.7763
"28310"	"ENSMUST00000004202.16"	5367	5257.87	6260.17	73.5973
"28602"	"ENSMUST00000010278.11"	3682	3572.87	1870.01	32.3529
"28665"	"ENSMUST00000022894.13"	3288	3178.87	9346.61	181.747
"28828"	"ENSMUST00000006764.8"	849	739.998	1471.27	122.899
"28913"	"ENSMUST00000001562.8"	3374	3264.87	1510.73	28.6026
"29054"	"ENSMUST00000001452.13"	1977	1867.87	7849.73	259.773
"29190"	"ENSMUST00000005292.14"	1500	1390.87	2159.54	95.9755
"29410"	"ENSMUST00000021197.9"	2497	2387.87	1598.58	41.3818
"29649"	"ENSMUST00000022634.8"	3238	3128.87	1706.69	33.7174
"29667"	"ENSMUST00000007602.14"	2515	2405.87	3081.02	79.1605
"29678"	"ENSMUST00000020843.12"	9026	8916.87	1406.06	9.74711
"30222"	"ENSMUST00000002292.14"	6165	6055.87	1748.95	17.8519
"30454"	"ENSMUST00000017900.8"	5142	5032.87	5295.16	65.0353
"30465"	"ENSMUST00000003493.8"	2012	1902.87	2365.21	76.8328
"30612"	"ENSMUST00000021957.7"	4341	4231.87	1146.28	16.7434
"30814"	"ENSMUST00000006856.2"	5346	5236.87	2324.3	27.4351
"30844"	"ENSMUST00000020315.12"	7766	7656.87	5640.33	45.5343
"31198"	"ENSMUST00000001258.14"	3586	3476.87	4288.02	76.235
"31353"	"ENSMUST00000019065.9"	3435	3325.87	3425.75	63.6703
"31385"	"ENSMUST00000021443.6"	3241	3131.87	4351.11	85.8781
"31412"	"ENSMUST00000020523.3"	4146	4036.87	1268.37	19.4216
"31433"	"ENSMUST00000018568.3"	1788	1678.87	1381.05	50.8484
"32436"	"ENSMUST00000018990.7"	7376	7266.87	2002	17.0295
"32816"	"ENSMUST00000023039.14"	1089	979.872	1389.01	87.6237
"32952"	"ENSMUST00000016400.8"	1441	1331.87	1165	54.0692
"33336"	"ENSMUST00000022808.13"	1030	920.872	2176.08	146.07
"33398"	"ENSMUST00000018992.3"	2109	1999.87	2630.86	81.3172
"33413"	"ENSMUST00000016396.7"	421	312.226	1947.63	385.588
"33711"	"ENSMUST00000006235.8"	4743	4633.87	4124.57	55.02
"33787"	"ENSMUST00000020930.13"	6160	6050.87	3714.26	37.9438
"34372"	"ENSMUST00000021614.13"	2679	2569.87	4035.26	97.0612
"34710"	"ENSMUST00000000291.8"	4590	4480.87	1504.75	20.7581
"35199"	"ENSMUST00000021547.7"	9391	9281.87	1264.67	8.42221
"36022"	"ENSMUST00000006181.6"	2517	2407.87	1317.7	33.8276
"36279"	"ENSMUST00000022781.7"	878	768.998	1170.54	94.0908
"36742"	"ENSMUST00000022369.8"	5267	5157.87	1563.97	18.7433
"36780"	"ENSMUST00000008733.14"	2918	2808.87	1568.17	34.5101
"37024"	"ENSMUST00000000001.4"	3262	3152.87	1623	31.8199
"37035"	"ENSMUST00000015146.15"	5215	5105.87	2809.79	34.0165
"37059"	"ENSMUST00000006496.14"	751	642.069	14679.3	1413.22
"37110"	"ENSMUST00000020286.6"	1364	1254.87	1970.72	97.0761
"37135"	"ENSMUST00000003964.16"	3678	3568.87	1450.6	25.1248
"37210"	"ENSMUST00000020317.7"	1544	1434.87	1563.9	67.3724
"37280"	"ENSMUST00000020258.9"	3898	3788.87	1604.82	26.1819
"37309"	"ENSMUST00000019517.9"	1646	1536.87	2116.83	85.1401
"37482"	"ENSMUST00000018186.15"	2422	2312.87	4877.85	130.366
"37853"	"ENSMUST00000010241.13"	2326	2216.87	1706.81	47.5917
"38059"	"ENSMUST00000012679.14"	4251	4141.87	2739.35	40.8824
"38141"	"ENSMUST00000001507.4"	3931	3821.87	1303.31	21.0794
"38316"	"ENSMUST00000003450.14"	3187	3077.87	1697.34	34.0882
"38485"	"ENSMUST00000023165.8"	10820	10710.9	1438.65	8.30265
"38541"	"ENSMUST00000013845.12"	1173	1063.87	1641.19	95.3574
"38828"	"ENSMUST00000009036.10"	1354	1244.87	1718.6	85.3366
"38929"	"ENSMUST00000002121.4"	6488	6378.87	4305.74	41.7244
"39090"	"ENSMUST00000021375.11"	4109	3999.87	4045.46	62.5184
"39151"	"ENSMUST00000015858.11"	2216	2106.87	1308.97	38.4041
"39166"	"ENSMUST00000006774.10"	2736	2626.87	1809.37	42.577
"39359"	"ENSMUST00000005234.12"	3089	2979.87	1358.92	28.1892
"39523"	"ENSMUST00000015855.7"	3140	3030.87	1433.26	29.231
"39535"	"ENSMUST00000020408.15"	3099	2989.87	2584.9	53.4412
"39599"	"ENSMUST00000020217.6"	3210	3100.87	3746	74.6741
"39694"	"ENSMUST00000021670.14"	7003	6893.87	2474.6	22.1885
"39805"	"ENSMUST00000000985.6"	2538	2428.87	1617.98	41.1771
"40029"	"ENSMUST00000011934.11"	81843	81733.9	3658.35	2.76675
"40078"	"ENSMUST00000007212.8"	2961	2851.87	4895.74	106.115
"40090"	"ENSMUST00000019907.7"	1940	1830.87	1710.58	57.7527
"40283"	"ENSMUST00000020257.12"	3905	3795.87	1053.28	17.1522
"40295"	"ENSMUST00000013737.12"	1623	1513.87	2551.44	104.179
"40782"	"ENSMUST00000001566.9"	2649	2539.87	25342.7	616.775
"40945"	"ENSMUST00000019231.11"	2189	2079.87	1682.28	49.9974
"41198"	"ENSMUST00000005108.9"	10944	10834.9	2285.91	13.0413
"41232"	"ENSMUST00000002518.8"	1411	1301.87	3483.74	165.411
"41331"	"ENSMUST00000015877.13"	2537	2427.87	3274.09	83.3587
"41938"	"ENSMUST00000004054.12"	5039	4929.87	2485.76	31.168
"42310"	"ENSMUST00000017290.10"	6572	6462.87	3299.81	31.5609
"42425"	"ENSMUST00000001989.8"	4071	3961.87	9884.68	154.223
"42653"	"ENSMUST00000020931.5"	5603	5493.87	1227.21	13.8078
"42702"	"ENSMUST00000011398.12"	2250	2140.87	1322.16	38.175
"42742"	"ENSMUST00000005810.8"	2085	1975.87	3168.9	99.1369
"43270"	"ENSMUST00000011492.14"	3930	3820.87	975.818	15.7867
"43531"	"ENSMUST00000021552.2"	2990	2880.87	1578.62	33.872
"43792"	"ENSMUST00000019354.10"	1312	1202.87	2077.06	106.737
"43871"	"ENSMUST00000021554.15"	3734	3624.87	5547.8	94.6051
"44228"	"ENSMUST00000003912.6"	2184	2074.87	10768	320.796
"44334"	"ENSMUST00000020831.12"	2557	2447.87	1369.17	34.5744
"44359"	"ENSMUST00000023352.8"	12647	12537.9	2261.88	11.1514
"44574"	"ENSMUST00000021381.5"	3485	3375.87	3613.21	66.1596
"44921"	"ENSMUST00000015435.10"	2666	2556.87	1918.12	46.3717
"44967"	"ENSMUST00000021345.13"	6064	5954.87	1727.71	17.9343
"45029"	"ENSMUST00000005714.13"	1472	1362.87	1086.79	49.2919
"45284"	"ENSMUST00000020846.7"	4299	4189.87	1060.62	15.6476
"45416"	"ENSMUST00000017920.13"	3642	3532.87	2042.64	35.7396
"45620"	"ENSMUST00000022450.5"	7590	7480.87	4856.73	40.1308
"45935"	"ENSMUST00000006435.7"	2825	2715.87	2249.69	51.2034
"47022"	"ENSMUST00000022587.9"	1762	1652.87	6215.2	232.435
"47137"	"ENSMUST00000011400.7"	6383	6273.87	4433.47	43.6811
"47402"	"ENSMUST00000017851.3"	3683	3573.87	3288.69	56.8814
"47508"	"ENSMUST00000002297.11"	3498	3388.87	1519.18	27.7103
"48109"	"ENSMUST00000007959.13"	2197	2087.87	6843.16	202.6
"48541"	"ENSMUST00000020562.4"	1634	1524.87	2488.82	100.889
"48676"	"ENSMUST00000021864.7"	9333	9223.87	3265.78	21.8856
"48738"	"ENSMUST00000002091.5"	1219	1109.87	1468	81.7597
"48942"	"ENSMUST00000004574.13"	1927	1817.87	1104.9	37.5705
"48964"	"ENSMUST00000015011.9"	3281	3171.87	2805.7	54.6779
"49177"	"ENSMUST00000022281.4"	3689	3579.87	6237.14	107.697
"49328"	"ENSMUST00000016105.8"	2771	2661.87	3465.95	80.4862
"49431"	"ENSMUST00000018716.9"	2006	1896.87	1283.16	41.8148
"49790"	"ENSMUST00000021559.13"	1293	1183.87	1667.14	87.0471
"49883"	"ENSMUST00000020372.5"	445	336.209	2286.92	420.463
"50306"	"ENSMUST00000003572.9"	2380	2270.87	7450.66	202.809
"50434"	"ENSMUST00000000137.7"	3631	3521.87	8829.33	154.967
"50503"	"ENSMUST00000020695.12"	7483	7373.87	3904.88	32.734
"51074"	"ENSMUST00000005841.15"	3782	3672.87	2464.8	41.4823
"51348"	"ENSMUST00000021347.11"	6300	6190.87	964.996	9.63518
"51466"	"ENSMUST00000018821.8"	1685	1575.87	4572.56	179.36
"51615"	"ENSMUST00000006854.12"	4791	4681.87	580.619	7.6658
"51838"	"ENSMUST00000018470.9"	3013	2903.87	3323.31	70.7423
"51840"	"ENSMUST00000022623.12"	3678	3568.87	1289.79	22.3395
"52325"	"ENSMUST00000009234.15"	4085	3975.87	1420.9	22.0911
"52414"	"ENSMUST00000020538.12"	5145	5035.87	6356.59	78.0254
"52582"	"ENSMUST00000007131.15"	4393	4283.87	4246.39	61.273
"52777"	"ENSMUST00000020822.11"	2035	1925.87	1711.85	54.9444
"52854"	"ENSMUST00000014499.9"	8942	8832.87	2256.35	15.7903
"52919"	"ENSMUST00000014457.14"	503	394.189	3248.72	509.441
"52927"	"ENSMUST00000019109.7"	1764	1654.87	3304.55	123.434
"53065"	"ENSMUST00000017567.13"	2245	2135.87	3349.09	96.9254
"53416"	"ENSMUST00000020886.8"	4527	4417.87	3650.22	51.073
"53431"	"ENSMUST00000018353.13"	5232	5122.87	1758.9	21.2233
"53666"	"ENSMUST00000000590.15"	4380	4270.87	2762.31	39.9799
"53886"	"ENSMUST00000006629.13"	8461	8351.87	3262.79	24.1486
"53893"	"ENSMUST00000011877.12"	8238	8128.87	3190.32	24.2599
"54903"	"ENSMUST00000021606.11"	5363	5253.87	1631.16	19.1913
"55120"	"ENSMUST00000023087.12"	3025	2915.87	2314.67	49.069
"55482"	"ENSMUST00000023072.6"	3784	3674.87	2180.5	36.6774
"55540"	"ENSMUST00000000505.15"	2962	2852.87	5988.12	129.746
"55774"	"ENSMUST00000005964.6"	1604	1494.87	3239.49	133.955
"56130"	"ENSMUST00000010421.6"	7443	7333.87	6607.95	55.6954
"56162"	"ENSMUST00000022062.7"	2900	2790.87	4136.11	91.609
"56428"	"ENSMUST00000021940.7"	4315	4205.87	1531.81	22.5131
"56458"	"ENSMUST00000005371.11"	1772	1662.87	5377.3	199.89
"56471"	"ENSMUST00000000724.14"	4653	4543.87	1720.01	23.3986
"57155"	"ENSMUST00000001520.12"	4227	4117.87	991.334	14.881
"57257"	"ENSMUST00000004203.5"	1670	1560.87	1846.14	73.111
"57784"	"ENSMUST00000002790.13"	3641	3531.87	6344.03	111.032
"58086"	"ENSMUST00000000451.13"	3070	2960.87	1701.35	35.5189
"58189"	"ENSMUST00000022097.5"	568	459.147	1585.94	213.511
"58247"	"ENSMUST00000018625.9"	6463	6353.87	3484.51	33.8992
"58369"	"ENSMUST00000022794.13"	2365	2255.87	1040.43	28.5092
"58370"	"ENSMUST00000022793.14"	4735	4625.87	1547.85	20.6833
"58437"	"ENSMUST00000004206.9"	1101	991.872	3065.28	191.03
"58486"	"ENSMUST00000006851.14"	3331	3221.87	2235.8	42.8954
"58614"	"ENSMUST00000006470.13"	8469	8359.87	3783.26	27.9738
"58674"	"ENSMUST00000017153.3"	2458	2348.87	4800.77	126.339
"58731"	"ENSMUST00000022416.14"	2394	2284.87	2525.24	68.3166
"58839"	"ENSMUST00000006760.2"	2189	2079.87	1791.29	53.2371
"59010"	"ENSMUST00000020358.11"	2827	2717.87	5433.95	123.587
"60564"	"ENSMUST00000022268.9"	1513	1403.87	2838.56	124.985
"60829"	"ENSMUST00000019950.5"	2297	2187.87	1559.5	44.0605
"61072"	"ENSMUST00000013338.13"	3924	3814.87	3769.14	61.0729
"61115"	"ENSMUST00000014339.14"	2330	2220.87	2347.01	65.3246
"61252"	"ENSMUST00000004565.14"	2289	2179.87	1398.56	39.6586
"61528"	"ENSMUST00000013559.2"	8378	8268.87	10235.8	76.5174
"61608"	"ENSMUST00000021018.10"	2068	1958.87	2964.91	93.5601
"61844"	"ENSMUST00000005015.9"	2099	1989.87	1581	49.1126
"61845"	"ENSMUST00000020289.9"	4282	4172.87	1797.78	26.631
"62022"	"ENSMUST00000009435.11"	2294	2184.87	1811.97	51.2638
"62164"	"ENSMUST00000018727.3"	6703	6593.87	10123.4	94.9016
"62354"	"ENSMUST00000005017.14"	2245	2135.87	7602.78	220.031
"62525"	"ENSMUST00000017548.6"	751	642.069	34786.6	3349
"62547"	"ENSMUST00000020288.14"	5784	5674.87	6348.78	69.1545
"62569"	"ENSMUST00000021428.8"	2232	2122.87	2107.16	61.3565
"62608"	"ENSMUST00000019333.9"	3570	3460.87	1344.04	24.0055
"62653"	"ENSMUST00000001611.10"	9219	9109.87	1296.81	8.79935
"62698"	"ENSMUST00000019911.13"	2005	1895.87	2976.35	97.0421
"62765"	"ENSMUST00000023029.14"	3487	3377.87	1647.82	30.1545
"62829"	"ENSMUST00000009774.10"	1469	1359.87	1313	59.6833
"63124"	"ENSMUST00000001127.10"	2054	1944.87	1556.98	49.4854
"63490"	"ENSMUST00000000642.10"	5513	5403.87	7362.72	84.2208
"63521"	"ENSMUST00000017408.13"	2790	2680.87	1535.41	35.4025
"63609"	"ENSMUST00000018437.2"	861	751.998	8174.73	671.959
"64172"	"ENSMUST00000018914.2"	714	605.069	3394.19	346.751
"64327"	"ENSMUST00000021698.12"	2852	2742.87	51528.5	1161.26
"64342"	"ENSMUST00000014389.5"	2174	2064.87	1260.08	37.7216
"64551"	"ENSMUST00000020027.10"	2880	2770.87	1077.98	24.0482
"64563"	"ENSMUST00000018645.12"	9037	8927.87	3678.96	25.472
"65050"	"ENSMUST00000005815.6"	5214	5104.87	2934.22	35.5298
"65143"	"ENSMUST00000020397.10"	3036	2926.87	1278.18	26.9944
"65479"	"ENSMUST00000022196.4"	4021	3911.87	3604.13	56.951
"65611"	"ENSMUST00000016138.10"	1930	1820.87	1605.99	54.5192
"65824"	"ENSMUST00000004646.12"	3491	3381.87	3179.72	58.119
"65861"	"ENSMUST00000001834.3"	2009	1899.87	2002.48	65.1524
"66248"	"ENSMUST00000004470.8"	8821	8711.87	3608.25	25.6019
"66272"	"ENSMUST00000019362.14"	2968	2858.87	1716.36	37.1107
"66510"	"ENSMUST00000006611.8"	1338	1228.87	3112.47	156.561
"66631"	"ENSMUST00000016703.7"	1993	1883.87	7150.87	234.635
"66838"	"ENSMUST00000002198.3"	4920	4810.87	3559.61	45.7367
"66874"	"ENSMUST00000020741.11"	1546	1436.87	2262.82	97.346
"66928"	"ENSMUST00000022341.6"	1562	1452.87	4705.9	200.217
"66974"	"ENSMUST00000021595.9"	1591	1481.87	2756.49	114.983
"66977"	"ENSMUST00000022340.4"	4876	4766.87	10342	134.109
"67031"	"ENSMUST00000021062.11"	3559	3449.87	11075.5	198.448
"67149"	"ENSMUST00000018449.10"	7442	7332.87	4682.03	39.4681
"67847"	"ENSMUST00000007005.13"	2250	2140.87	1209.35	34.9179
"68692"	"ENSMUST00000001818.4"	3428	3318.87	1038.75	19.3467
"69218"	"ENSMUST00000002844.13"	1031	921.872	1324.6	88.8182
"69673"	"ENSMUST00000001485.9"	1708	1598.87	1585.75	61.3067
"69764"	"ENSMUST00000021217.10"	1012	902.872	7379.18	505.206
"69817"	"ENSMUST00000020637.8"	3779	3669.87	18092.1	304.737
"69830"	"ENSMUST00000015950.11"	1380	1270.87	1018.55	49.5414
"70319"	"ENSMUST00000007007.13"	2051	1941.87	1902.61	60.5641
"70440"	"ENSMUST00000020904.7"	7644	7534.87	2353.71	19.3091
"70678"	"ENSMUST00000007980.6"	2678	2568.87	6088	146.493
"70726"	"ENSMUST00000022550.7"	5977	5867.87	1144.69	12.0585
"70793"	"ENSMUST00000003521.9"	661	552.069	18850.5	2110.65
"71009"	"ENSMUST00000001583.7"	4382	4272.87	1687.28	24.4092
"71466"	"ENSMUST00000002095.10"	16461	16351.9	3333.12	12.6
"71916"	"ENSMUST00000009120.7"	4987	4877.87	3374.75	42.7659
"71930"	"ENSMUST00000022855.11"	2664	2554.87	2086.82	50.4897
"72087"	"ENSMUST00000015467.8"	2364	2254.87	1637.71	44.8952
"72852"	"ENSMUST00000003550.10"	2901	2791.87	1020.84	22.6022
"73182"	"ENSMUST00000006625.7"	3165	3055.87	1940.76	39.2575
"73223"	"ENSMUST00000018506.12"	2054	1944.87	4358.21	138.517
"73307"	"ENSMUST00000001304.8"	1472	1362.87	16536.8	750.038
"73692"	"ENSMUST00000005826.8"	2926	2816.87	6090.29	133.646
"73840"	"ENSMUST00000020962.11"	2696	2586.87	3262.88	77.9673
"73872"	"ENSMUST00000020856.5"	1871	1761.87	2251.24	78.983
"73884"	"ENSMUST00000006221.13"	4323	4213.87	2541.04	37.2749
"73993"	"ENSMUST00000002889.4"	4060	3950.87	1971.45	30.8447
"74040"	"ENSMUST00000022882.11"	5880	5770.87	6427.34	68.8456
"74328"	"ENSMUST00000004222.13"	4218	4108.87	1050.83	15.8088
"74394"	"ENSMUST00000022529.7"	3223	3113.87	3633.42	72.1274
"74609"	"ENSMUST00000022663.6"	3179	3069.87	1250.39	25.1775
"74647"	"ENSMUST00000021001.9"	3513	3403.87	2243	40.7326
"74743"	"ENSMUST00000021807.12"	2556	2446.87	3164.1	79.9328
"75258"	"ENSMUST00000001479.4"	5894	5784.87	13880.8	148.322
